  46.84
 353.00
2260093113
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	30172.48	0.00	218.66	0.00	-13.04	-13.04	203.28
1980 01 02 12	30253.07	0.00	199.05	0.00	-10.93	-10.93	237.37
1980 01 03 12	30344.16	0.00	197.64	0.00	-13.60	-13.60	169.39
1980 01 04 12	30408.34	0.00	214.61	0.00	-16.53	-16.53	134.57
1980 01 05 12	30413.49	0.00	206.02	0.00	-17.60	-17.60	129.30
1980 01 06 12	30485.90	1.23	203.38	0.00	-20.35	-20.35	103.99
1980 01 07 12	30598.67	3.07	158.00	0.00	-14.23	-14.23	202.78
1980 01 08 12	30733.71	1.17	108.70	0.00	-6.36	-6.36	310.48
1980 01 09 12	30758.40	0.05	136.21	0.00	-11.79	-11.79	196.68
1980 01 10 12	30798.49	0.34	139.21	0.00	-16.61	-16.61	130.17
1980 01 11 12	30944.27	1.41	88.61	0.00	-13.55	-13.55	202.26
1980 01 12 12	31099.54	16.09	164.40	0.00	-1.78	-1.78	502.64
1980 01 13 12	31104.69	0.21	206.14	0.00	-15.61	-15.61	134.20
1980 01 14 12	31209.28	1.32	146.13	0.00	-5.68	-5.68	358.90
1980 01 15 12	31424.91	1.27	240.27	0.00	-2.10	-2.10	480.43
1980 01 16 12	31449.60	0.00	236.86	0.00	-11.62	-11.62	211.13
1980 01 17 12	31554.88	0.00	214.90	0.00	-10.96	-10.96	241.56
1980 01 18 12	31770.51	3.11	104.97	0.00	-3.33	-3.33	450.85
1980 01 19 12	31795.89	0.00	108.80	0.00	-0.77	-0.77	560.70
1980 01 20 12	31939.40	1.61	128.02	0.00	-4.96	-4.96	380.55
1980 01 21 12	32136.34	0.00	112.17	0.00	-17.55	-17.55	111.44
1980 01 22 12	32150.34	0.00	250.79	0.00	-16.41	-16.41	135.95
1980 01 23 12	32369.53	4.86	84.69	0.00	-9.35	-9.35	270.58
1980 01 24 12	32486.40	1.26	104.69	0.00	-11.84	-11.84	223.83
1980 01 25 12	32591.68	0.00	157.61	0.00	-18.05	-18.05	116.07
1980 01 26 12	32832.00	0.00	205.47	0.00	-13.05	-13.05	190.19
1980 01 27 12	32872.09	0.00	214.06	0.00	-8.93	-8.93	256.27
1980 01 28 12	33152.91	0.00	176.11	0.00	-10.92	-10.92	218.65
1980 01 29 12	33178.29	0.00	216.51	0.00	-15.63	-15.63	142.69
1980 01 30 12	33406.32	0.00	104.28	0.00	-18.76	-18.76	104.35
1980 01 31 12	33523.20	0.00	183.54	0.00	-17.43	-17.43	124.74
1980 02 01 12	33709.07	0.34	222.48	0.00	-14.43	-14.43	162.52
1980 02 02 12	33868.80	0.41	127.52	0.00	-15.57	-15.57	145.23
1980 02 03 12	34012.99	0.50	224.60	0.00	-11.77	-11.77	215.65
1980 02 04 12	34214.40	0.00	93.43	0.00	-11.17	-11.17	215.48
1980 02 05 12	34319.68	0.34	108.90	0.00	-10.45	-10.45	243.17
1980 02 06 12	34560.00	0.05	307.67	0.00	-8.00	-8.00	290.35
1980 02 07 12	34665.28	0.00	316.11	0.00	-11.41	-11.41	215.84
1980 02 08 12	34905.60	0.00	299.50	0.00	-10.70	-10.70	240.15
1980 02 09 12	35010.88	0.00	324.64	0.00	-11.83	-11.83	209.26
1980 02 10 12	35251.20	0.00	186.92	0.00	-13.69	-13.69	178.95
1980 02 11 12	35395.39	0.00	222.87	0.00	-11.12	-11.12	211.54
1980 02 12 12	35596.80	0.00	248.96	0.00	-8.59	-8.59	235.07
1980 02 13 12	35825.52	0.00	234.61	0.00	-9.40	-9.40	228.89
1980 02 14 12	35942.40	0.00	222.96	0.00	-9.86	-9.86	225.23
1980 02 15 12	36219.36	0.00	292.05	0.00	-11.61	-11.61	194.30
1980 02 16 12	36288.00	4.19	255.79	0.00	-11.65	-11.65	211.68
1980 02 17 12	36633.60	4.97	145.15	0.00	-11.68	-11.68	214.14
1980 02 18 12	36633.60	0.00	230.26	0.00	-13.29	-13.29	176.05
1980 02 19 12	36979.20	0.00	265.84	0.00	-8.56	-8.56	266.67
1980 02 20 12	37019.29	0.11	211.38	0.00	-5.82	-5.82	356.83
1980 02 21 12	37324.80	0.69	244.32	0.00	-4.85	-4.85	379.98
1980 02 22 12	37468.99	0.15	370.72	0.00	-18.65	-18.65	112.48
1980 02 23 12	37670.40	4.51	197.45	0.00	-9.72	-9.72	256.61
1980 02 24 12	38011.54	0.10	239.02	0.00	-10.18	-10.18	251.21
1980 02 25 12	38016.00	1.64	208.37	0.00	-5.04	-5.04	355.30
1980 02 26 12	38361.60	0.00	371.28	0.00	-13.85	-13.85	166.36
1980 02 27 12	38362.29	0.00	373.80	0.00	-19.47	-19.47	99.74
1980 02 28 12	38707.20	0.06	166.67	0.00	-14.85	-14.85	154.90
1980 02 29 12	38893.07	0.03	291.26	0.00	-16.70	-16.70	130.50
1980 03 01 12	39052.80	0.00	414.93	0.00	-18.54	-18.54	106.09
1980 03 02 12	39398.40	0.00	455.48	0.00	-19.91	-19.91	101.85
1980 03 03 12	39398.40	0.00	451.51	0.00	-15.88	-15.88	150.55
1980 03 04 12	39744.00	0.00	409.27	0.00	-11.10	-11.10	234.66
1980 03 05 12	39784.09	1.52	259.04	0.00	-4.94	-4.94	372.24
1980 03 06 12	40089.60	2.41	333.19	0.00	-3.05	-3.05	422.93
1980 03 07 12	40435.20	0.01	193.23	0.00	-8.27	-8.27	268.40
1980 03 08 12	40435.20	2.17	226.33	0.00	-4.89	-4.89	360.75
1980 03 09 12	40780.80	5.83	269.34	0.00	-3.70	-3.70	411.02
1980 03 10 12	40780.80	2.51	365.17	0.00	-3.46	-3.46	396.92
1980 03 11 12	41126.40	16.37	256.44	0.00	-0.97	-0.97	526.76
1980 03 12 12	41472.00	1.04	142.29	0.00	-14.30	-14.30	175.55
1980 03 13 12	41472.00	0.74	479.20	0.00	-16.26	-16.26	137.80
1980 03 14 12	41817.60	11.36	204.82	0.00	-9.16	-9.16	278.96
1980 03 15 12	41817.60	3.53	228.94	0.00	-6.89	-6.89	315.08
1980 03 16 12	42163.20	0.57	435.67	0.00	-14.85	-14.85	152.25
1980 03 17 12	42508.80	0.30	269.25	0.00	-11.21	-11.21	236.33
1980 03 18 12	42508.80	31.32	186.48	0.00	-0.23	-0.23	570.90
1980 03 19 12	42854.40	0.00	415.84	0.00	-8.66	-8.66	235.38
1980 03 20 12	42854.40	0.00	218.58	0.00	-9.35	-9.35	251.20
1980 03 21 12	43200.00	0.00	502.36	0.00	-4.95	-4.95	359.43
1980 03 22 12	43545.60	0.00	447.53	0.00	-0.17	-0.17	532.14
1980 03 23 12	43545.60	0.00	381.67	0.00	0.68	0.68	551.67
1980 03 24 12	43891.20	0.00	399.62	0.00	-1.87	-1.87	467.58
1980 03 25 12	43891.20	1.19	198.77	0.00	-0.17	-0.17	538.73
1980 03 26 12	44236.80	4.26	187.73	0.00	-0.01	-0.01	545.80
1980 03 27 12	44582.40	0.63	324.81	0.00	0.12	0.12	520.72
1980 03 28 12	44582.40	0.00	355.82	0.00	0.72	0.72	489.99
1980 03 29 12	44928.00	0.00	300.70	0.00	2.03	2.03	544.30
1980 03 30 12	44928.00	0.00	429.77	0.00	0.99	0.99	485.23
1980 03 31 12	45273.60	0.00	433.47	0.00	-0.40	-0.40	411.06
1980 04 01 12	45619.20	0.00	572.14	0.00	-0.53	-0.53	373.27
1980 04 02 12	45619.20	0.00	358.94	0.00	1.19	1.19	439.95
1980 04 03 12	45964.80	0.51	443.28	0.00	2.82	2.82	510.44
1980 04 04 12	45964.80	2.92	433.02	0.00	4.19	4.19	545.67
1980 04 05 12	46310.40	2.27	193.73	0.00	3.43	3.43	635.81
1980 04 06 12	46615.91	0.24	590.36	0.00	-0.72	-0.72	316.94
1980 04 07 12	46656.00	0.00	538.85	0.00	0.19	0.19	270.74
1980 04 08 12	47001.60	0.03	529.02	0.00	4.30	4.30	542.42
1980 04 09 12	47001.60	0.00	249.45	0.00	7.25	7.25	789.14
1980 04 10 12	47347.20	8.25	211.82	0.00	6.29	6.29	700.34
1980 04 11 12	47506.93	7.61	197.44	0.00	7.38	7.38	888.87
1980 04 12 12	47692.80	1.03	304.62	0.00	6.45	6.45	735.89
1980 04 13 12	48037.71	2.98	242.47	0.00	7.10	7.10	789.09
1980 04 14 12	48038.40	0.00	481.98	0.00	6.38	6.38	671.97
1980 04 15 12	48384.00	9.28	216.02	0.00	8.38	8.38	963.61
1980 04 16 12	48388.46	0.27	300.48	0.00	6.13	6.13	711.27
1980 04 17 12	48729.60	0.05	604.77	0.00	-0.58	-0.58	283.80
1980 04 18 12	48931.01	0.00	193.31	0.00	1.67	1.67	325.98
1980 04 19 12	49075.20	0.17	606.72	0.00	2.98	2.98	414.65
1980 04 20 12	49380.71	1.67	420.70	0.00	7.20	7.20	568.16
1980 04 21 12	49420.80	4.87	249.43	0.00	5.41	5.41	677.52
1980 04 22 12	49766.40	1.42	154.29	0.00	0.47	0.47	507.52
1980 04 23 12	49766.40	5.15	149.67	0.00	4.15	4.15	738.20
1980 04 24 12	50112.00	2.66	499.35	0.00	8.29	8.29	889.17
1980 04 25 12	50180.64	0.45	277.10	0.00	9.99	9.99	1004.04
1980 04 26 12	50457.60	2.75	166.69	0.00	9.13	9.13	1048.18
1980 04 27 12	50574.48	6.43	191.04	0.00	9.11	9.11	1019.46
1980 04 28 12	50803.20	0.35	585.63	0.00	8.12	8.12	762.07
1980 04 29 12	51004.61	0.13	610.24	0.00	9.70	9.70	655.58
1980 04 30 12	51148.80	2.42	229.01	0.00	10.81	10.81	948.71
1980 05 01 12	51350.21	0.00	492.63	0.00	14.03	14.03	877.34
1980 05 02 12	51494.40	0.00	547.73	0.00	10.15	10.15	712.73
1980 05 03 12	51734.72	0.00	523.61	0.00	10.79	10.79	684.90
1980 05 04 12	51840.00	0.07	388.60	0.00	6.76	6.76	573.60
1980 05 05 12	52080.32	0.00	293.91	0.00	5.55	5.55	627.68
1980 05 06 12	52185.60	0.63	337.01	0.00	7.07	7.07	745.98
1980 05 07 12	52387.01	6.14	160.72	0.00	5.84	5.84	798.64
1980 05 08 12	52531.20	11.93	195.72	0.00	7.24	7.24	931.38
1980 05 09 12	52690.93	4.66	156.81	0.00	7.30	7.30	906.93
1980 05 10 12	52876.80	0.55	251.65	0.00	6.64	6.64	712.64
1980 05 11 12	52993.68	0.00	516.23	0.00	10.28	10.28	798.15
1980 05 12 12	53221.71	0.41	365.89	0.00	13.81	13.81	1087.30
1980 05 13 12	53247.09	1.31	315.09	0.00	10.97	10.97	903.28
1980 05 14 12	53527.91	12.17	180.22	0.00	8.75	8.75	906.06
1980 05 15 12	53568.00	2.26	410.60	0.00	9.63	9.63	812.43
1980 05 16 12	53808.32	0.00	381.90	0.00	11.08	11.08	811.50
1980 05 17 12	53913.60	0.00	542.86	0.00	10.07	10.07	724.05
1980 05 18 12	54030.48	0.74	364.45	0.00	11.83	11.83	875.92
1980 05 19 12	54249.66	4.97	363.77	0.00	11.85	11.85	1058.91
1980 05 20 12	54263.66	0.00	534.04	0.00	12.23	12.23	827.36
1980 05 21 12	54460.61	0.00	558.08	0.00	14.76	14.76	1000.28
1980 05 22 12	54604.11	0.00	495.95	0.00	15.58	15.58	1116.96
1980 05 23 12	54629.50	0.00	452.09	0.00	11.31	11.31	829.27
1980 05 24 12	54845.12	0.00	569.46	0.00	11.50	11.50	715.68
1980 05 25 12	54950.40	0.00	342.03	0.00	8.23	8.23	645.75
1980 05 26 12	54975.09	0.14	206.64	0.00	5.42	5.42	668.87
1980 05 27 12	55190.72	0.29	183.53	0.00	6.39	6.39	726.35
1980 05 28 12	55295.31	0.00	299.98	0.00	7.92	7.92	763.92
1980 05 29 12	55300.46	0.00	363.08	0.00	10.27	10.27	830.42
1980 05 30 12	55455.73	0.13	562.88	0.00	13.78	13.78	881.78
1980 05 31 12	55601.51	0.62	162.51	0.00	13.13	13.13	1177.50
1980 06 01 12	55641.60	0.00	367.89	0.00	16.43	16.43	1460.05
1980 06 02 12	55666.30	0.71	470.88	0.00	15.54	15.54	1204.63
1980 06 03 12	55801.33	2.22	197.86	0.00	12.65	12.65	1242.19
1980 06 04 12	55914.10	2.82	104.72	0.00	10.81	10.81	1176.93
1980 06 05 12	55986.51	0.45	346.05	0.00	12.47	12.47	1016.27
1980 06 06 12	55991.66	0.00	511.47	0.00	13.82	13.82	899.40
1980 06 07 12	56055.84	3.53	297.90	0.00	13.48	13.48	1123.51
1980 06 08 12	56146.93	3.18	246.10	0.00	13.76	13.76	1379.47
1980 06 09 12	56227.52	1.00	250.93	0.00	6.14	6.14	795.04
